,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[134],9530.86,0.507596,80.4689,9394.72,9533.06,9658.66,25131.6,9.95105,0.999971
mu[135],8136.04,0.486844,74.4921,8006.77,8140.61,8250.6,23412.1,9.2702,0.999894
mu[136],8549.61,0.420744,59.7868,8449.67,8550.4,8647.35,20191.8,7.99511,0.999932
mu[137],8659.65,0.402943,57.562,8565.17,8659.02,8755.47,20407.3,8.08042,0.999958
mu[138],9248.35,0.485847,74.2094,9124.1,9249.81,9369.33,23330.2,9.23777,0.999939
mu[139],8329.69,0.303478,43.2659,8259.6,8329.49,8401.79,20325.3,8.04794,1.00011
mu[140],8713.2,0.415989,63.1856,8604.61,8715.27,8813.68,23071.3,9.13527,0.999965
mu[141],7279.28,0.546669,78.9502,7144.45,7282.18,7402.11,20857.3,8.2586,0.999966
mu[142],8454.25,0.359309,51.9135,8371.57,8452.56,8541.25,20874.8,8.26555,1.00014
mu[143],7270.08,0.341105,50.6167,7188.23,7269.23,7355.49,22019.8,8.71891,1.00008
mu[144],10580.8,0.642089,100.353,10412.3,10582.9,10743.1,24427.0,9.67205,0.999919
mu[145],8102.01,0.362665,51.2062,8019.66,8100.64,8189.27,19935.8,7.89375,0.999961
mu[146],8145.08,0.368796,55.0279,8049.89,8147.9,8230.56,22263.5,8.81542,1.00007
mu[147],9109.97,0.457138,70.1277,8992.65,9111.14,9222.17,23533.4,9.31823,1.00011
mu[148],7297.92,0.371352,55.8892,7206.47,7296.85,7391.08,22650.8,8.96878,1.00004
mu[149],8654.85,0.425342,66.6014,8542.13,8656.65,8760.03,24518.3,9.7082,0.999987
mu[150],8455.63,0.51784,79.9694,8319.38,8458.61,8582.96,23848.3,9.44291,0.999985
mu[151],7902.8,0.352293,52.6251,7813.6,7904.22,7986.37,22314.0,8.83541,1.00014
mu[152],5618.39,0.661981,97.951,5455.64,5619.24,5776.49,21894.1,8.66913,0.999885
mu[153],5584.25,0.552374,86.2845,5440.31,5585.11,5724.05,24400.5,9.66157,0.999978
mu[154],6119.8,0.472588,71.0787,6004.69,6118.6,6237.89,22621.1,8.95699,0.999925
mu[155],6702.81,0.428134,66.2108,6595.03,6702.47,6812.46,23916.5,9.46994,0.999854
mu[156],9216.25,0.400941,58.3879,9120.43,9216.11,9312.96,21207.2,8.39716,1.00002
mu[157],6618.2,0.477804,71.9752,6501.55,6616.52,6738.99,22691.6,8.98492,0.99991
mu[158],7766.35,0.358278,53.3376,7676.77,7767.56,7852.04,22162.9,8.77556,1.00002
mu[159],7601.43,0.35053,50.6997,7519.63,7599.88,7686.74,20919.9,8.2834,1.0001
