,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[98],6949.36,0.385691,57.653,6855.57,6949.02,7045.56,22344.2,8.924,1.00002
mu[99],6570.32,0.445904,66.6029,6461.21,6569.98,6680.76,22310.2,8.91041,0.999899
mu[100],7002.06,0.468622,66.9654,6892.49,7000.99,7112.37,20420.0,8.1555,1.00001
mu[101],7792.51,0.428705,62.0626,7687.29,7794.31,7890.63,20957.7,8.37024,0.999967
mu[102],6926.38,0.442905,63.4499,6822.55,6926.33,7030.34,20523.0,8.19664,1.00018
mu[103],6933.47,0.383026,56.5042,6839.93,6934.49,7024.93,21762.3,8.6916,0.999991
mu[104],6992.55,0.497957,73.1419,6868.5,6995.21,7108.03,21574.9,8.61676,0.999996
mu[105],8464.52,0.471781,70.346,8345.88,8466.05,8577.58,22233.0,8.87959,1.0
mu[106],5837.26,0.526206,74.7879,5714.26,5836.71,5960.71,20200.0,8.06763,1.00008
mu[107],8350.24,0.402299,61.1322,8248.15,8351.09,8449.24,23091.0,9.22225,1.00015
mu[108],7836.44,0.527536,78.6348,7703.46,7839.1,7960.87,22219.0,8.874,0.999936
mu[109],8033.87,0.346312,50.8077,7953.69,8032.09,8120.06,21524.1,8.59645,1.00014
mu[110],8899.12,0.399394,59.5007,8797.91,8901.41,8993.97,22194.2,8.86411,0.99991
mu[111],7073.06,0.36174,51.6076,6987.45,7073.43,7157.86,20353.3,8.12885,1.00006
mu[112],9715.78,0.571195,89.1439,9565.8,9717.52,9858.49,24356.5,9.72771,1.00001
mu[113],8046.64,0.307979,43.8516,7973.26,8047.49,8117.59,20273.5,8.09697,1.00008
mu[114],8438.72,0.496566,73.1096,8314.19,8440.96,8555.62,21676.8,8.65745,0.999901
mu[115],6821.21,0.497633,77.6784,6687.62,6824.17,6944.08,24365.9,9.73145,0.999901
mu[116],8899.76,0.366472,55.0893,8811.61,8898.36,8992.06,22597.1,9.02503,1.00016
mu[117],7247.97,0.457415,67.2001,7135.89,7248.21,7357.6,21583.4,8.62013,1.00005
mu[118],8338.7,0.345413,50.5268,8255.22,8338.65,8421.55,21397.6,8.54595,1.00003
mu[119],8546.33,0.371068,56.2827,8451.75,8548.22,8635.81,23006.1,9.18837,1.00001
mu[120],7181.11,0.48839,68.5817,7067.95,7180.92,7294.23,19718.9,7.87551,1.00002
mu[121],6037.25,0.469863,69.685,5921.83,6037.61,6152.24,21995.6,8.78478,0.999924
mu[122],6023.93,0.546558,82.5048,5887.99,6024.03,6158.44,22786.9,9.10082,0.999901
mu[123],7311.16,0.38813,54.5386,7226.04,7308.43,7406.58,19744.9,7.88586,0.99998
mu[124],7317.69,0.392148,59.2378,7219.97,7317.35,7415.26,22819.1,9.11367,1.00012
mu[125],6714.09,0.429385,64.6727,6608.49,6713.39,6821.18,22685.5,9.0603,0.99999
mu[126],7210.5,0.477821,73.5557,7088.42,7211.81,7329.96,23697.4,9.46447,0.999959
mu[127],6570.27,0.491351,70.3849,6451.32,6572.16,6682.15,20519.9,8.19539,0.999911
mu[128],8246.69,0.43294,64.2412,8138.14,8248.61,8349.25,22017.7,8.79361,0.999971
mu[129],7592.02,0.367011,53.8509,7503.14,7592.51,7680.18,21529.2,8.59849,1.00011
mu[130],7123.9,0.516829,76.3979,6994.3,7125.61,7245.36,21850.8,8.72697,1.00006
mu[131],7191.76,0.40226,60.3521,7086.52,7194.99,7285.36,22509.8,8.99015,0.999941
mu[132],7288.01,0.382585,56.4465,7196.99,7286.88,7382.78,21767.9,8.69385,1.0001
mu[133],8737.1,0.408455,63.6144,8629.9,8738.21,8838.44,24256.2,9.68764,0.999927
mu[134],9531.39,0.521977,80.1424,9397.45,9532.79,9660.85,23573.4,9.41493,0.99994
mu[135],8136.53,0.488608,73.7452,8008.98,8139.91,8251.0,22779.6,9.0979,1.00006
mu[136],8549.44,0.410575,60.2364,8449.13,8550.06,8646.8,21524.5,8.59664,1.00016
mu[137],8659.93,0.399185,57.0831,8567.36,8659.22,8754.08,20448.7,8.16698,0.999961
mu[138],9248.65,0.480255,74.2315,9125.56,9249.33,9368.82,23890.9,9.54174,1.00003
